47,45,47,0.07,0.07,0.06,0.06,20020715,20071231
47,45,47,0.07,0.07,0.055,0.055,20080101,20120630
47,45,47,0.07,0.07,0.0525,0.0525,20120701,20130630
47,45,47,0.07,0.07,0.05,0.05,20130701,20170630
47,45,47,0.07,0.07,0.04,0.04,20170701,29991231
47,79,91950,0.005,0.005,0.005,0.005,20250201,29991231
47,0,001,0.0275,0.0275,0.0275,0.0275,20060701,29991231
47,0,003,0.0275,0.0275,0.0275,0.0275,20010801,29991231
47,0,005,0.0275,0.0275,0.0275,0.0275,19970101,29991231
47,0,007,0.0225,0.0225,0.0225,0.0225,19890101,29991231
47,0,009,0.0275,0.0275,0.0275,0.0275,20140701,29991231
